proportion	letters
0.732630516458252	a
0.273257444064375	b
0.544813921755547	c
0.279126712648835	d
0.622049010261874	e
0.0568234920278884	f
0.144395222340605	g
0.236696013009589	h
0.590085795996187	i
0.00684124936914709	j
0.0563561935737117	k
0.427540701695359	l
0.242527897717714	m
0.475111684330548	n
0.537224994859717	o
0.18682592197985	p
0.00889736256752463	q
0.515392811080581	r
0.347221443391465	s
0.483223985495056	t
0.25148133609974	u
0.0568234920278884	v
0.0352903792594254	w
0.0208975868707826	x
0.190900764500271	y
0.034916540496084	z
